observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.44,0.0,22,1,0.0,0.0,0.55,0.1,10
0.0,0.0,0,0,0.0,0.0,0.55,0.1,11
0.0,0.0,0,0,0.0,0.0,0.55,0.1,12
0.0,0.0,0,0,0.0,0.0,0.55,0.1,13
0.0,0.0,0,0,0.0,0.0,0.55,0.1,14
0.0,0.0,0,0,0.0,0.0,0.55,0.1,15
0.62,0.0,31,1,0.0,0.0,0.55,0.1,16
0.0,0.0,0,0,0.0,0.0,0.55,0.1,17
0.66,0.0,33,1,0.0,0.0,0.55,0.1,18
0.44,0.0,22,1,0.0,0.0,0.55,0.1,19
0.54,0.0,27,1,0.0,0.0,0.55,0.1,20
0.0,0.0,0,0,0.0,0.0,0.55,0.1,21
0.58,0.0,29,1,0.0,0.0,0.55,0.1,22
0.52,0.0,26,1,0.0,0.0,0.55,0.1,23
0.0,0.0,0,0,0.0,0.0,0.55,0.1,24
0.61,0.0,61,2,0.0,0.0,0.55,0.1,25
0.0,0.0,0,0,0.0,0.0,0.55,0.1,26
0.0,0.0,0,0,0.0,0.0,0.55,0.1,27
0.4,0.0,20,1,0.0,0.0,0.55,0.1,28
0.54,0.0,27,1,0.0,0.0,0.55,0.1,29
0.49333333333333335,0.0,74,3,0.0,0.0,0.55,0.5,0
0.62,0.0,62,2,0.0,0.0,0.55,0.5,1
0.5266666666666666,0.0,79,3,0.0,0.0,0.55,0.5,2
0.56,0.0,56,2,0.0,0.0,0.55,0.5,3
0.57,0.0,171,6,0.0,0.0,0.55,0.5,4
0.5311111111111111,0.0,239,9,0.0,0.180224,0.55,0.5,5
0.0,0.0,0,0,0.0,0.0,0.55,0.5,6
0.59,0.0,177,6,0.0,0.0,0.55,0.5,7
0.588,0.0,147,5,0.0,0.0,0.55,0.5,8
0.51,0.0,51,2,0.0,0.0,0.55,0.5,9
0.58,0.0,116,4,0.0,0.0,0.55,0.5,10
0.5666666666666667,0.0,85,3,0.0,0.0,0.55,0.5,11
0.55,0.0,220,8,0.0,0.0,0.55,0.5,12
0.5,0.0,50,2,0.0,0.0,0.55,0.5,13
0.52,0.0,130,5,0.0,0.0,0.55,0.5,14
0.5766666666666667,0.0,173,6,0.0,0.0,0.55,0.5,15
0.52,0.0,130,5,0.0,0.0,0.55,0.5,16
0.48,0.0,48,2,0.0,0.0,0.55,0.5,17
0.5342857142857143,0.0,187,7,0.0,0.0,0.55,0.5,18
0.5488888888888889,0.0,247,9,0.0,0.0,0.55,0.5,19
0.54,0.0,162,6,0.0,0.0,0.55,0.5,20
0.54,0.0,54,2,0.0,0.0,0.55,0.5,21
0.51,0.0,102,4,0.0,0.0,0.55,0.5,22
0.58,0.0,58,2,0.0,0.0,0.55,0.5,23
0.58,0.0,145,5,0.0,0.0,0.55,0.5,24
0.56,0.0,28,1,0.0,0.0,0.55,0.5,25
0.5866666666666667,0.0,88,3,0.0,0.0,0.55,0.5,26
0.5725,0.0,229,8,0.0,0.2048,0.55,0.5,27
0.56,0.0,140,5,0.0,0.0,0.55,0.5,28
0.545,0.0,109,4,0.0,0.0,0.55,0.5,29
0.5275,0.0,211,8,0.0,0.0,0.55,1.0,0
